Maximum of Subsidiary Legal Name,Maximum of Name,Document Number,Date,Maximum of Due Date/Receive By,Period,Type,Maximum of Department,Maximum of Amount,Maximum of Amount Paid,Status,Maximum of Memo (Main),Maximum of Date Closed
"Nexus Land Holdings, LLC",City of Hubbard,DM01,10/7/2025,10/7/2025,Oct-25,Bill,Corporate : Corporate,1500,1500,Paid In Full,DM Civic Center Rental for onsite hosting,10/7/2025
"Nexus Data Centers, LLC",Isadora Design LLC,IA-NEXUS46303,10/8/2025,10/8/2025,Oct-25,Bill,Corporate : Marketing / Branding,50000,50000,Paid In Full,DM Branding and Marketing Retainer - Retainer,10/15/2025
"Nexus Data Centers, LLC","Ultera, llc",1051,10/14/2025,10/29/2025,Oct-25,Bill,Corporate : Workforce,50000,50000,Paid In Full,DM Recruiting Fees - Finance,10/17/2025
"Nexus Apex Holdings, LLC",michels construction inc,21255113,10/15/2025,10/15/2025,Oct-25,Bill,Development : Fiber : Fiber Procore,25860,25860,Paid In Full,"DM Fiber Carrier Engagement & OSP Fiber Network Design to Project Apex""",10/30/2025
"Nexus Data Centers, LLC",Simplify Compliance LLC (datacenterHawk),80939-B3,10/15/2025,12/9/2025,Oct-25,Bill,Corporate : IT : Services / License,6662.5,6662.5,Paid In Full,DM North American Access - Installment #3 - 4/25-4/26,12/12/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",158178,10/16/2025,10/16/2025,Oct-25,Bill,Development : Engineering : Engineering Procore,5975,5975,Paid In Full,DM RUS-25013168-A0 Nexus Prelim Power Design - September 2025,10/30/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",158216,10/16/2025,10/16/2025,Oct-25,Bill,Development : Engineering : Engineering Procore,45400,45400,Paid In Full,DM RUS-25010731-A0 Early Works - September 2025,10/30/2025
"Nexus Land Holdings, LLC",Blackland Surveying LLC,25-07-0444(2),10/16/2025,11/15/2025,Oct-25,Bill,Infrastructure : Acquisition costs - Infra,3464,3464,Paid In Full,DM For easements added to the project for 800 SH 171,10/22/2025
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-002,10/20/2025,11/19/2025,Oct-25,Bill,Development : Project Management : Project Management Procore,51220,51220,Paid In Full,DM Schedule management services for the Nexus Program Team. Reference services agreement signed on 7/16/2025 between IPI and Nexus Data Centers. - September 2025,11/10/2025
"Nexus Apex Holdings, LLC",SLR international corporation,10019663,10/21/2025,10/21/2025,Oct-25,Bill,Development : Regulatory : Regulatory Procore,42900,42900,Paid In Full,"DM Nexus PSD air permiting, dispersion modeling - August 30, 2025 to October 03, 2025",11/24/2025
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS  7/25/2025,10/22/2025,10/22/2025,Oct-25,Bill,Corporate : Corporate,110,110,Paid In Full,DM Transportation - Ivan Car Service,11/28/2025
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 8/1/2025,10/23/2025,10/23/2025,Oct-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,11/28/2025
"Nexus Land Holdings, LLC",ROCKIN' B SURVEY,2025-425,10/24/2025,10/24/2025,Oct-25,Bill,Infrastructure : Acquisition costs - Infra,1807.78,1807.78,Paid In Full,"DM HUB-34-King - BOUNDARY SURVEY OF 2.938 ACRE TRACT, HILL COUNTY, TEXAS",10/28/2025
"Nexus Data Centers, LLC","Ultera, llc",1053,10/27/2025,11/11/2025,Oct-25,Bill,Corporate : Workforce,30000,30000,Paid In Full,DM Recruiting Fees - Finance,11/3/2025
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 10/27/25,10/27/2025,10/27/2025,Oct-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,11/28/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",158426,10/28/2025,10/28/2025,Oct-25,Bill,Development : Engineering : Engineering Procore,7996.04,7996.04,Paid In Full,DM RUS-25013168-A0 Nexus Prelim Power Design - October 2025,10/30/2025
"Nexus Data Centers, LLC",Abdellah Kettani,Inv KTS 10/29/25,10/29/2025,10/29/2025,Oct-25,Bill,Corporate : Corporate,130,130,Paid In Full,DM Transportation - Ivan Car Service,11/28/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",158461,10/30/2025,10/30/2025,Oct-25,Bill,Development : Engineering : Engineering Procore,1655.5,1655.5,Paid In Full,"DM Oct 11 to Oct 24, 2025 - high voltage conceptual design professional services (RAL-25014377-A0) - October 2025",11/28/2025
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",9202517,10/30/2025,10/30/2025,Oct-25,Bill,Development : Regulatory : Regulatory Procore,18935.38,18935.38,Paid In Full,DM Environmental Consulting - HOU-25007091-00 - September 2025,10/30/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1048,10/31/2025,11/30/2025,Oct-25,Bill,Infrastructure : Legal - Infra,17520,17520,Paid In Full,DM Real Estate Legal Support - confirmed land - KH - October 2025; reduced by overpayment in August,12/1/2025
"Nexus Apex Holdings, LLC",CI Mission Critical LLC,500.60.25214.000-1,10/31/2025,11/15/2025,Oct-25,Bill,Development : Engineering : Engineering Gen,10000,10000,Paid In Full,DM Architectual Services - Concept and Programming for Support Buildings - October 2025,12/1/2025
"Nexus Apex Holdings, LLC",Terradyne Engineering,D251227-002,10/31/2025,10/31/2025,Oct-25,Bill,Development : Engineering : Engineering Gen,350000,350000,Paid In Full,DM Geotech Report - Phase 1 - October 2025,11/3/2025
"Nexus Apex Holdings, LLC","Jones Lang LaSalle Americas, Inc.",DM02,10/31/2025,11/17/2025,Oct-25,Bill,Corporate : Finance,500000,500000,Paid In Full,DM Consulting fee - October 2025,12/5/2025
"Nexus Data Centers, LLC","Braintek, LLC",44913,11/1/2025,11/16/2025,Nov-25,Bill,Corporate : IT : Services / License,3055.3,3055.3,Paid In Full,DM Monthly Maintenance - November - November 2025,11/28/2025
"Nexus Data Centers, LLC","AMP DATA CENTER GROUP, LLC",50005,11/1/2025,11/15/2025,Nov-25,Bill,Corporate : Business development,20000,20000,Paid In Full,DM Sales/Leasing Advisory - November 2025,11/6/2025
"Nexus Data Centers, LLC",Regus Corporation,7970-799,11/1/2025,11/15/2025,Nov-25,Bill,Corporate : HQ / Office,15646.02,15646.02,Paid In Full,"DM Dec office rent; October services (IT, kitchen, access)",11/19/2025
